Year,Variable,Value
1994,Adults,20
1995,Adults,20
1996,Adults,21
1997,Adults,20
1998,Adults,19
1999,Adults,20
2000,Adults,19
2001,Adults,19
2002,Adults,19
2003,Adults,19
2004,Adults,19
2005,Adults,20
2006,Adults,20
2007,Adults,21
2008,Adults,21
2009,Adults,22
2010,Adults,21
1994,Pensioners,28
1995,Pensioners,28
1996,Pensioners,29
1997,Pensioners,29
1998,Pensioners,29
1999,Pensioners,28
2000,Pensioners,26
2001,Pensioners,26
2002,Pensioners,24
2003,Pensioners,20
2004,Pensioners,17
2005,Pensioners,16
2006,Pensioners,19
2007,Pensioners,18
2008,Pensioners,16
2009,Pensioners,15
2010,Pensioners,14
1994,Children,33
1995,Children,33
1996,Children,34
1997,Children,33
1998,Children,34
1999,Children,33
2000,Children,31
2001,Children,31
2002,Children,29
2003,Children,28
2004,Children,28
2005,Children,30
2006,Children,31
2007,Children,31
2008,Children,30
2009,Children,30
2010,Children,27
